LEI,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0W2PZJM8XOY22M4GG883,0.002974136665343828,0.0043209329526271295,0.018703883270814882,0.15941769260861405,0.04227474744819777,0.013116877549620258,0.0016358866176946175,0.07449081559194282,9.391522836376319e-07,0.002342044139265686,0.0,0.5793171167846668,0.014941827179150212,0.08284010937383543,0.0,0.0,0.0036229906659428377,0.0,0.0
2138008AVF4W7FMW8W87,0.17004215272581033,0.01610853213511962,0.23460465776282488,0.035118883366037586,0.009970607454894864,0.16439515010336128,0.16252915403115872,0.024513987096559723,0.05797898446775909,0.0239794690164315,0.00872976890874423,0.056577217371522354,0.011650416026241468,0.008790466910292921,0.0003400094521083251,0.0006046684995816834,0.009085457450097924,0.0017142470313522373,0.003266170190101156
2138009Y59EAR7H1UO97,0.11615486904840212,0.003291515099329009,0.08702672742721798,0.07973116782210787,0.007754633385808833,0.07944917709005625,0.12596496798908782,0.09072807681369428,0.016176812976065606,0.011373887108551587,0.0001570210729711851,0.2362021079746788,0.05052671421172398,0.06776356674615053,6.658363620295159e-05,0.00260250643515387,0.011229519305185572,0.010801784290329346,0.0029983615672824512
213800DBQIB6VBNU5C64,0.007548458690034783,0.0011102877587885588,0.17138553043818908,0.13359375614873553,0.0017921628262663916,0.03801109811701245,0.1401124649274137,0.20588195966679002,0.1322616367405293,0.015618123488724345,0.011961183591657112,0.07700716044938422,0.021146898907715234,0.019357691608969878,3.4797331075615645e-05,0.0033188472749272027,0.0062431045936577724,0.0032564929501056592,0.010358344490023345
213800HDJ876ACJXXD05,0.025133607720287054,0.03591495369199446,0.21271593817670684,0.05684623670886919,0.005634616011580762,0.09986549948066,0.19643590285486315,0.08316909099078353,0.04819534123537147,0.04601539396835984,0.009287364433346863,0.11222680708170159,0.030423860295101607,0.019046355833848765,3.586726741009138e-05,0.0023249766142392713,0.004196426994414967,0.009646486352308043,0.0028852742881525497
213800TC9PZRBHMJW403,0.0,0.0,0.02059730706274087,0.0,0.0,0.24574796910900631,0.014713999137569865,0.0,0.13163699279827112,0.003243107755751379,0.01633016637106559,0.3791700577056295,0.0658943449866377,0.0,0.0,0.0,0.0,0.12266605507332781,0.0
213800X3Q9LSAKRUWY91,0.03362185221548055,0.001685500987849495,0.17161243630269502,0.045705279257037754,0.016074177092648745,0.07940096805559745,0.15568624133594328,0.0583976083888851,0.015143333897283394,0.02046852769037617,0.050444887626137185,0.14586750562340559,0.08094795559514942,0.03317110523282363,0.0008697634479217076,0.00197662280962056,0.055511528117542834,0.007156335562940796,0.026258370760661322
222100K6QL2V4MLHWQ08,0.02318909732164606,0.0052536121223559435,0.201969131365265,0.02718432872330863,0.015016102127039944,0.10535567462327011,0.12278929003676668,0.05794201343205464,0.07830475215821237,0.02015070870956442,0.045248783751297164,0.1517588875926309,0.06543419256426869,0.03093240063274715,3.465856147989763e-06,0.006252529275218953,0.018938422577475876,0.008906497494174197,0.015370109636555242
254900RNFMDM0P11YR84,0.0,0.0,0.0,0.0,4.4692855233628753e-05,0.0025003494431139325,0.0,0.0,0.04378091532455733,7.813592009731039e-07,0.0,0.9515312977132565,0.0015391480203036307,0.0,0.0,0.0,0.0,3.1254368038924153e-13,0.0006028152840215246
2W8N8UU78PMDQKZENC08,0.021924401547981007,0.012400071478258794,0.2620931310550183,0.061203012459049695,0.013590209941423822,0.06897428789951913,0.1688549759719617,0.06489353872341617,0.032807467890004376,0.05063265341585997,0.035461749240189334,0.06616295969135955,0.08768421656805288,0.02700554145229229,8.815960567364592e-06,0.0015823180215302224,0.012753501698857287,0.0038638464824567436,0.008103300502201502
391200EEGLNXBBCVKC73,0.000137173234891377,6.168593444689987e-05,0.021871986611185893,0.05814319175074956,0.032159468903881806,0.016467475696628077,0.012253525373043448,0.028292145230307503,0.0028116679077701714,0.010635330198379964,4.048337736188342e-07,0.6999076209297379,0.07262479444547149,0.0265499144501199,0.0,0.0006217894214059019,0.010368039708221857,0.005215989548422936,0.0018777958215617035
3H0Q3U74FVFED2SHZT16,0.06703975412762478,0.008328053832399734,0.18598844600919676,0.048792678539550514,0.0032721868772619166,0.07104941376103628,0.16728868475793224,0.06102408319565757,0.02551253273290857,0.021905246883544914,0.021086697880491383,0.1382870819632619,0.084516339572799,0.03174131014285463,5.921698861056569e-05,0.001062548772412331,0.004128240442866097,0.0033668399490270474,0.05555064357056383
3M5E1GQGKL17HI6CPN30,0.04325542822379263,0.0006047244084300176,0.08411995530634328,0.03343155701717707,0.004326302914061013,0.01619780216362159,0.06331441470023726,0.03159712209906881,0.005203798703374113,0.005211810228207479,0.008229008804883932,0.5752517507986311,0.061238049310157576,0.033007393682449856,0.0007384582260385603,0.017944313011207712,0.009289162916377889,0.0009703432086503077,0.0060686042772898074
485100FX5Y9YLAQLNP12,0.0,0.002355076812164602,0.11411133427848792,0.0,0.0,0.057516527454386686,0.17177534139592118,0.02922597173146925,0.014893471933745612,0.03379362035036156,0.0,0.012958361873769085,0.032390214266946965,0.02006455144427567,0.0008448248752383387,0.006630391248027578,0.002959225534333399,0.0006666920079250037,0.49981439479294715
5299007QVIQ7IO64NX37,0.004297189751302216,5.224456847262883e-08,0.045183132034467735,0.002633981697539838,0.0,0.009565291521086886,0.013062762718764833,0.016493483089424665,0.013004601175138526,0.002677794902263389,0.0,0.3656572774317632,0.1642041799940479,0.23904128588170853,0.0,0.0008068506021516522,1.0624288492253776e-05,2.206597564125882e-05,0.12333942669163848
529900GGYMNGRQTDOO93,1.1305232627508775e-10,0.0,0.00013340184057948105,0.010355591713165038,0.026991062730243286,0.0037809071940256554,0.0009831231393760626,0.01015209393590743,0.0,0.0018198702512115966,0.0008134876761571687,0.8554906623065812,0.006929094201971966,0.0010159597068275811,2.083391250394685e-06,0.0020121312361139868,0.07716103516979861,0.0008864292023970734,0.00147306619134116
529900HEKOENJHPNN480,0.0,0.0,0.00023971030086161938,0.012471405651978754,0.04952769578149969,0.00687940504704185,0.0,0.004047461925350226,0.00021129160900118835,0.000668619927799429,0.00047521644225325424,0.9158479824488918,0.0006333836600310169,0.0010998018753372628,7.785621988746188e-05,0.0,0.005368743186525895,0.002451425923540687,0.0
529900HNOAA1KXQJUQ27,0.00716381084434988,0.003458085522313367,0.12260866704200289,0.11427326307171125,0.009064152567889276,0.02717122856234163,0.07912112947091109,0.037259891904717804,0.004864506674189675,0.016088910235383037,9.830161760201711e-05,0.4459133257281101,0.021436447413922012,0.02761989457332782,0.0,0.0007771411989174146,0.008005985984335235,0.0012250733636453297,0.0738501842243301
529900JG015JC10LED24,0.018459160608379144,0.004093414428252524,0.09193620970834862,0.06928620399004937,0.012503626968244108,0.03751230742159127,0.05135019040645272,0.03747342494358655,0.02680240553688116,0.007680513846247818,0.0,0.5218374922341891,0.03235041523881275,0.034122871402073256,0.0,0.0019425047803045446,0.025418209824787315,0.02242422141451192,0.004806827247287875
529900JZTYE3W7WQH904,0.00041918096796790414,0.0013468207952272836,0.028961240834215977,0.011600582144270795,0.00981199701521907,0.051941850737036284,0.07303790022309427,0.019473419325507623,0.009377481541795834,0.008737374674203522,0.0,0.6546825763679938,0.05820160239684899,0.04214248245268939,0.0,0.0035891666334256136,0.011451391354734525,0.006115776883424912,0.009109155652344294
529900ODI3047E2LIV03,0.051380335407112225,0.005992859918895809,0.1648806384043432,0.04138116603216209,0.012525037468666896,0.04619996547134091,0.0859081475993902,0.06091851913474043,0.012448761416565642,0.0348939539898269,0.059641635665290266,0.3504020936931139,0.022499865353958808,0.02677425905831218,0.0019935960817583256,0.0028672521912321922,0.010375912312725331,0.00644157781809341,0.002474422982471186
529900OE1FOAM50XLP72,0.003470336461856798,0.000980596600089731,0.04829217601188025,0.020095933427661073,0.004256779584148204,0.0597846342981369,0.03808177684613801,0.01642249408694,0.009676669891059513,0.004636047868803509,0.0011949570892560116,0.7026654892340092,0.040135109745114146,0.009354154394272406,0.0,0.00038930005124220945,0.012464475544851111,0.006496452655208644,0.021602616209332366
529900RWC8ZYB066JF16,0.012717558241887725,0.0013862940073770997,0.035675244454939886,0.03549529900587022,0.004629997978372326,0.08959655725062661,0.15336431357366892,0.09688872320220163,0.2033566447768608,0.035852459264551974,0.07217470533173523,0.16163104847899187,0.007966603963643128,0.011280408957392556,0.0,0.008956688045599135,0.04226336650528011,0.020780302762672568,0.005983784198328453
529900S9YO2JHTIIDG38,0.003357974693291335,0.00015522368475123435,0.0864874960116647,0.05583065417658568,0.04441886358377193,0.04178618983142622,0.056043125407324555,0.027654549203586152,0.026385802458824735,0.030492976318470786,0.03259975087303576,0.3736377737527866,0.021540539639470925,0.024873643992984206,0.08395280877781079,0.002723445820002794,0.03912969424009491,0.01611852616865571,0.03281096136546084
529900SSGT49ZZSWYE62,0.006810159357609866,0.001154619638550298,0.09002988548064846,0.003386139515200588,0.0049263423998427295,0.0748525304935901,0.5213026416254299,0.03926971503576188,0.008902766268350914,0.018502963126055334,0.0,0.018940024046490964,0.06282024998580346,0.10258741583195301,0.0,0.006178386346000271,0.01778605854247158,0.004841448073706654,0.017708654232533906
529900SXEWPJ1MRRX537,0.0020526075718787077,0.00023369811479640078,0.06870714053213209,0.016111348346381203,0.0035003115353603384,0.03932755000341699,0.06192555302522015,0.006861857096207251,0.011867692712252279,0.006792937174104953,0.0029164530889231057,0.6470026933784948,0.09441337075506233,0.025350952493957753,0.0013288140430199893,0.00020944100693570759,0.005508244968129083,0.003122813415076737,0.0027665207386501738
529900V3O1M5IHMOSF46,0.0,0.0,0.27678086335930785,0.0,0.0,0.0309288982345691,0.10034048665697218,0.0011525404268331362,0.0650131181850815,0.29090135677553736,0.0,0.026805559010597536,0.04682650256800608,0.07334279438995349,0.0,0.0,0.035208562198298536,0.05207909832548385,0.0006202198693594379
529900W3MOO00A18X956,0.056369916218437184,0.009786658307105789,0.20475302935138634,0.08250269419228481,0.006808246824603936,0.08026909549183471,0.20665589662854267,0.06027638346429976,0.04544782554866128,0.02434791311073544,0.01821405959575211,0.09268672622193892,0.045646245360824414,0.029808551134168186,0.008307769198108876,0.0017456927677144203,0.006330328593849975,0.004309171859745252,0.015733796130005938
529900XSTAE561178282,0.012096395644641105,0.0037735533742663686,0.17916632034762603,0.012935757160734807,0.005222104802003002,0.08234292118353072,0.10105033008353577,0.05708733634249427,0.018738051132583488,0.010179164663414644,0.0008138316800483539,0.3336536178597347,0.13642936726383614,0.01911366603074166,7.387562888172587e-07,0.0006769271029339762,0.0035030999252550423,0.002866449878062835,0.020350366768268263
5493000LKS7B3UTF7H35,0.019976579878034532,0.019871267733050438,0.2632516140627949,0.03325547817395616,0.014015430552323677,0.07004281747717,0.193617227399256,0.07427050055825098,0.01872486905341242,0.04274731001324555,0.004736540621953957,0.10927611049502085,0.07232161769672645,0.03314091472331444,0.00027915970544681654,0.0018167804728616954,0.017324828204415724,0.009055541529065394,0.0022754116497001563
5493001BABFV7P27OW30,0.017885641673116185,0.006060014599304999,0.2505052613690934,0.08568581307514625,0.009809332208026794,0.11120894352664155,0.21677877655218059,0.08399948204771406,0.036929617939608604,0.03020343200396771,0.010798816527890021,0.0596507025338671,0.04023807888565334,0.023537239493481757,0.0005715663197454107,0.0023058106482628914,0.007571930352248274,0.002360103340710805,0.0038994369033402763
