LEI,0W2PZJM8XOY22M4GG883,2138008AVF4W7FMW8W87,2138009Y59EAR7H1UO97,213800DBQIB6VBNU5C64,213800HDJ876ACJXXD05,213800TC9PZRBHMJW403,213800X3Q9LSAKRUWY91,222100K6QL2V4MLHWQ08,254900RNFMDM0P11YR84,2W8N8UU78PMDQKZENC08,391200EEGLNXBBCVKC73,3H0Q3U74FVFED2SHZT16,3M5E1GQGKL17HI6CPN30,485100FX5Y9YLAQLNP12,5299007QVIQ7IO64NX37,529900GGYMNGRQTDOO93,529900HEKOENJHPNN480,529900HNOAA1KXQJUQ27,529900JG015JC10LED24,529900JZTYE3W7WQH904,529900ODI3047E2LIV03,529900OE1FOAM50XLP72,529900RWC8ZYB066JF16,529900S9YO2JHTIIDG38,529900SSGT49ZZSWYE62,529900SXEWPJ1MRRX537,529900V3O1M5IHMOSF46,529900W3MOO00A18X956,529900XSTAE561178282,5493000LKS7B3UTF7H35,5493001BABFV7P27OW30,54930056IRBXK0Q1FP96,5493006QMFDDMYWIAM13,5493007SJLLCTM6J6M37,5493008QOCP58OLEN998,5493009EIBTCB1X12G89,549300C6TUMDXNOVXS82,549300C9KPZR0VZ16R05,549300DYPOFMXOR7XM56,549300GKFG0RYRRQ1414,549300HFEHJOXGE4ZE63,549300L7YCATGO57ZE10,549300NYKK9MWM7GGW15,549300OLBL49CW8CT155,549300Q3OIWRHQUQM052,549300RG3H390KEL8896,549300TK038P6EV4YU51,549300TRUWO2CD2G5692,549300U4LIZV0REEQQ46,5UMCZOEYKCVFAW8ZLO05,635400AKJBGNS5WNQL34,635400C8EK6DRI12LJ39,635400L14KNHZXPUZM19,724500A1FNICHSDF2I11,724500JIWG886A9RRT57,7437003B5WFBOIEFY714,7CUNS533WID6K7DGFI87,7LTWFZYICNSX8D621K86,7LVZJ6XRIE7VNZ4UBX81,7V6Z97IO7R1SEAO84Q32,815600AD83B2B6317788,815600E4E6DCD2D25E30,851WYGNLUQLFZBSYGB56,95980020140005881190,96950001WI712W7PQG45,9695000CG7B84NLR5984,96950066U5XAAIRCPA78,969500STN7T9MRUMJ267,9CZ7TVMR36CYD5TZBS50,9ZHRYM6F437SQJ6OUG95,A5GWLFH3KM7YV2SFQL84,AT0000000000043000VB,B81CK4ESI35472RHJ606,BFXS5XCH7N0Y05NIXW11,DG3RU1DBUFHT4ZF9WN62,DIZES5CFO5K3I5R58746,DSNHHQ2B9X5N6OUJ1236,DZZ47B9A52ZJ6LT6VV95,EV2XZWMLLXF2QRX0CD47,F0HUI1NY1AZMJMD8LP67,F3JS33DEI6XQ4ZBPTN86,FR9695005MSX1OYEMGDF,FR969500TJ5KRTCJQWXH,H0YX5LBGKDVOWCXBZ594,J48C8PCSJVUBR8KCW529,J4CP7MHCXR8DAQMKIL78,JEUVK5RWVJEN8W0C9M24,JU1U6S0DG9YLT7N8ZV32,K8MS7FD7N5Z2WQ51AZ71,LIU16F6VZJSD6UKHD557,LOO0AWXR8GF142JCO404,M312WZV08Y7LYUC71685,M6AD1Y1KW32H8THQ6F76,MAES062Z21O4RZ2U7M96,N1FBEDJ5J41VKZLO2475,N747OI7JINV7RUUH6190,NHBDILHZTYCNBV5UYZ31,NNVPP80YIZGEY2314M97,O2RNE8IBXP4R0TD8PU41,P4GTT6GF1W40CVIMFR43,PSNL19R2RXX5U3QWHI44,R0MUWSFPU8MPRO8K5P83,SI5RG2M0WQQLZCXKRM20,TO822O0VT80V06K0FH57,TUKDD90GPC79G1KOE162,VDYMYTQGZZ6DU0912C88,VWMYAEQSTOPNV0SUGU82
0W2PZJM8XOY22M4GG883,0.9999999999999999,0.20833566953970525,0.7780894974002239,0.3865200236999877,0.40915010561604404,0.7438264746080201,0.5372208827929502,0.5240993903229345,0.9438391888289425,0.28826763289648505,0.9715476018432468,0.4982360183636412,0.9537823868164261,0.04499266708840328,0.795078617545993,0.9480061254629529,0.9513985200952182,0.9444734874403803,0.9670678951390265,0.9517813610371753,0.8651902862100743,0.9527344886316895,0.5181551602396788,0.9219989281214057,0.08216133891863144,0.9440910122532487,0.10865919443669994,0.3783377925913728,0.7914979276117354,0.37035776380606933,0.2744234714832809,0.49906308288279866,0.4583442560541265,0.4318392115334681,0.24182050435725547,0.14740841307735222,0.9204110869926703,0.18575643788712495,0.42863882567241507,0.827427775950464,0.271163584780053,0.2614919625626051,0.5560829874118386,0.1988839670969468,0.9340525419937556,0.12113537680631557,0.8280312457926188,0.5486972617855552,0.3086179219979115,0.3370235071531748,0.8035567126230302,0.8162062236919222,0.5109160669639725,0.5384059004649394,0.31787626873933794,0.939865582800925,0.4416718502204335,0.6101298232709818,0.841652609811092,0.8819496981055823,0.19102842177113905,0.27328907093571386,0.4402316508379757,0.20977853298449115,0.03755001201796159,0.8546899594714169,0.9512381912690248,0.7640502758139033,0.853975202091281,0.5664985746421112,0.5149961984402849,0.9124254700436547,0.9244943540021298,0.4955338433661165,0.26873857866089074,0.9766525329112311,0.9244132764764853,0.9455185095318362,0.9731509621689007,0.4502403256073163,0.8748109483881231,0.8949797557701203,0.7083788231981755,0.9462749691464244,0.41047383843370117,0.30065562212229396,0.44002859805166317,0.3640432666813553,0.29209113371294154,0.9596066123778622,0.34695882887163515,0.9584318315423366,0.33783666803676915,0.9015280777432108,0.2644280366293044,0.29081247472866256,0.9482313707690095,0.38133381713953746,0.5300062114147207,0.3207068572023163,0.38781820698944464,0.5017871639291129,0.4775473990256832,0.5990909216593582,0.9168229049746984,0.9695767755847067,0.5132757710751338
2138008AVF4W7FMW8W87,0.20833566953970525,1.0,0.7087254335976049,0.6607585246204719,0.8729035111518664,0.4130696933893214,0.8086360001836118,0.839342056684161,0.15548078842999474,0.8478532333996038,0.19909334640522133,0.8540851526634876,0.3350565986308881,0.33119500522054884,0.22253554975143067,0.15452593979036577,0.1538669463716047,0.41873784693005445,0.3595405023145568,0.2632984344022939,0.5915646424245611,0.25805501008134685,0.5787076540300153,0.4066545979378351,0.5889844668404787,0.28589244751783277,0.6014594342795794,0.8930612147936606,0.5963811613012219,0.8442899791379069,0.8737409342649557,0.8249299909215948,0.7844966664133218,0.8059734756068216,0.7629380251663825,0.1088823591318248,0.434598452157082,0.5861477756688345,0.7522810991903346,0.5956070405604574,0.09488079900239707,0.24176021192374167,0.7613180743465647,0.8905099261223528,0.39928384671053946,0.8535537750796116,0.656449204337027,0.799827484769678,0.6430104753532956,0.6209105204095273,0.5770546355962681,0.5993844909789078,0.6322355533534496,0.25699861156663323,0.5096066500018432,0.46932310821071066,0.7837143722306394,0.46472598571562684,0.5064818031324577,0.4741248588888476,0.8196462458183188,0.8627616649252703,0.7691507701665952,0.8634615937440544,0.5151851777722134,0.45910098058046656,0.29921110768661485,0.543210125816019,0.4588742431926057,0.769483341921413,0.6667925394752918,0.3949198494897512,0.4231134926855946,0.4943009478449237,0.8586205335707757,0.31417625510179553,0.3465578418933101,0.15123054266241795,0.17340270754320952,0.6358142445229259,0.48166825543722996,0.4515680454913333,0.7495097458157837,0.15185006272278678,0.8580338900052645,0.8808812513377335,0.7057375336635008,0.8630537573422689,0.8479343609658629,0.31456907787705585,0.9152692702321684,0.30672897915209885,0.7536885578100097,0.49888699267237324,0.7290555865539053,0.8540758921016122,0.22021009419965748,0.9245780865345719,0.6786486123395535,0.8297970143126429,0.5968508353930776,0.8196780059378203,0.7917857124121404,0.8206963081809372,0.2568820893580672,0.2997269654743183,0.8066949560675045
2138009Y59EAR7H1UO97,0.7780894974002239,0.7087254335976049,1.0000000000000004,0.6923249934737794,0.7901553417221361,0.6975403617221929,0.8579327435073782,0.8221071214457429,0.679913951918927,0.6896860779086361,0.7423015539930583,0.8654646494845951,0.8161845588374113,0.24656251778817898,0.7091069980437376,0.686865888730407,0.6844429260848715,0.8452028690771287,0.8278227462842808,0.7735005051669792,0.8958849962282129,0.753074007002107,0.7157278127813086,0.8183252596826008,0.5179905548976256,0.7742040662371936,0.384860621775736,0.7984381612136706,0.8702747020828212,0.7475576676807386,0.7029713767210872,0.823546116125682,0.8104260041843109,0.7697617926849315,0.6047794786942946,0.16387984978850947,0.8492022036130912,0.35915892580484104,0.8187841248277185,0.9424707519846279,0.3716708607856918,0.4343784760932515,0.834073655651506,0.6683090829239047,0.8567624811036908,0.6807021253589753,0.9411361917445258,0.8264559913103987,0.5706349936126011,0.6472999181447312,0.8615305503935635,0.8910781009126679,0.7464414593533827,0.5280623188796079,0.5650825008584343,0.8924119217404616,0.7731217697160926,0.6618003488964447,0.8616101085994349,0.8900832448794778,0.5689568894228678,0.643492201118524,0.6990931937249644,0.6745031472196994,0.44312981372480176,0.8567561451993476,0.8101459643696028,0.837448350817317,0.802032266106404,0.8575831922158554,0.776901456303983,0.8158455584648595,0.8338386542490982,0.6819431223539648,0.7363949743826828,0.8030251056984814,0.8235789763106107,0.6807026426883086,0.717102190691543,0.7218813160495794,0.8615715103028122,0.86357279277061,0.935374323510567,0.682659949093606,0.7559379418595851,0.6874976415004918,0.7579926445009239,0.7651244929335295,0.6813453683727332,0.7937397660952477,0.7300548908575539,0.7913090230123491,0.6943630677245888,0.8737882228633133,0.5499674841715391,0.6669272861849059,0.7233473337858457,0.7637670425232329,0.7734478646385826,0.7032296751755469,0.6333614795032014,0.8268513727923156,0.7909277800343996,0.893280982670881,0.8133516297515284,0.7927590347996163,0.8520914977987013
213800DBQIB6VBNU5C64,0.3865200236999877,0.6607585246204719,0.6923249934737794,1.0000000000000002,0.8445439968051954,0.35120418539270737,0.7607678220555781,0.7948459635305068,0.2258362918656708,0.8037411188724005,0.29255764411567936,0.7791383113090998,0.3778420833578265,0.30580448956807776,0.2965564709182597,0.22251351278812234,0.2177432528887335,0.5140083481184442,0.4345538164974967,0.313125651315628,0.5959762532707927,0.30146517926403277,0.7630671901569207,0.47373147610426297,0.5254128922725602,0.32649729758319596,0.5059385705595432,0.8357974710005426,0.5917145362873524,0.7892898466555895,0.8406440166840262,0.8465635811057325,0.7523091765908901,0.7465625146749472,0.6493604355625646,0.13768633314115697,0.3929496362544295,0.6139282990021946,0.501757500484434,0.6272547500427843,0.6120517732033668,0.2557093393416515,0.8341804006777952,0.7327558713362907,0.4470025709608026,0.7436060788743678,0.6818650008405444,0.7575985415925636,0.6493382399746261,0.9801208825536724,0.7551978076466145,0.5926105716138836,0.7986441166307112,0.48443219286924677,0.6367866643417192,0.5444164597626322,0.8421802857154816,0.4856771864649359,0.49446829556065447,0.45357514880248356,0.688178371081621,0.7269283305257014,0.7737370255922228,0.7558892690803739,0.45299766321776563,0.46662659592495875,0.3929358987207944,0.6584976629402067,0.39748439719336576,0.7543816702162915,0.6115423366574585,0.4448727947891602,0.47802580318530846,0.5535063675839759,0.5348456139854927,0.431966819218179,0.5352438926353061,0.21193074280669486,0.2593715940548836,0.6792275031794525,0.5911567423953911,0.49872883506820814,0.7333648085362702,0.21646006188641853,0.7638095558114905,0.7464316698060849,0.9860558685096461,0.8197786195716091,0.8348912337772225,0.36947602905142163,0.7735638292031938,0.3550018201303371,0.9793383098271115,0.5339394739543859,0.6647927831410828,0.7449909301751682,0.2688476681282208,0.7447891360659823,0.793953194306901,0.8051535984753849,0.6136182359382107,0.7787689746063584,0.8482461869146922,0.834808436717814,0.5580020487778861,0.46987952129943,0.7773036730498386
213800HDJ876ACJXXD05,0.40915010561604404,0.8729035111518664,0.7901553417221361,0.8445439968051954,0.9999999999999999,0.48539773592413427,0.9322027335034752,0.9407739177968426,0.3249634177900429,0.9540123399954095,0.386156780667262,0.9451101795608685,0.5035175007262396,0.37730082984177743,0.3879437596481831,0.3260185050000133,0.3244019469898245,0.6144877988299746,0.5385654328116499,0.4474070969321616,0.7403154978693246,0.4291439886540987,0.7218529776869931,0.5876357959578102,0.7218895414059227,0.46734097224843496,0.6836601071737015,0.979922938725215,0.7640080860087342,0.9734630759089037,0.9765936630142136,0.9437605032274694,0.9392854580722244,0.8340033172710912,0.8694821594432016,0.12949901046339193,0.5495158428136933,0.6259215005833433,0.6826706621014118,0.7225115709483237,0.29507874024314595,0.35988735854769505,0.9521495251841905,0.9372129514962061,0.5421030353225486,0.865688181966538,0.8141608659739911,0.9503173881152057,0.7157880820761046,0.8106341130699863,0.7428752195602273,0.722199721109728,0.7866420952288543,0.39163185068962214,0.6594675091293327,0.6519541718406601,0.9115931836567603,0.6205202596736744,0.6761823620139297,0.5470261849052203,0.8944984214407111,0.9208360737414893,0.9030005243913696,0.8775936401891158,0.6426129681702825,0.6028300200451618,0.49827463717852044,0.7400488871672026,0.579179099670057,0.9373111370159363,0.7853579743946628,0.5525317110835251,0.6199241363433025,0.599313025505578,0.6768967833512635,0.5170140480867761,0.5374438718140466,0.3212051153254219,0.3498044761642447,0.8048876059760668,0.6864019176657797,0.6361395735774187,0.8626861982523826,0.32328387606110487,0.9624130454000984,0.9519131918587315,0.8975617898717305,0.9791881088718333,0.9577008713277543,0.4916818753478352,0.9476473548821478,0.48218198969342174,0.8837027467210612,0.6767440197549115,0.8437897327856383,0.9314785008539842,0.3881475969101256,0.9580100176537127,0.8669647762165416,0.9532622072650608,0.7372097661770692,0.961775277047527,0.9304381837294702,0.9577596455235025,0.4996359212924579,0.48081897478791596,0.9423762004577864
213800TC9PZRBHMJW403,0.7438264746080201,0.4130696933893214,0.6975403617221929,0.35120418539270737,0.48539773592413427,1.0,0.5691167184562549,0.6511526502717371,0.7841096343292256,0.3471499074560222,0.7917059385499876,0.526329304566722,0.7878893853790465,0.10482792854046621,0.6477236361118872,0.7710730179934164,0.7744551218455791,0.7503896709362664,0.8159158803271643,0.8198108508821788,0.7500547225528125,0.8231248737621463,0.6889725035372638,0.7956925798270822,0.15171100972946666,0.8152109168346062,0.20558641582580836,0.4232379619727256,0.7766784239567427,0.40997294734190487,0.3542625685858257,0.5685574513422018,0.4808136699070742,0.5181551752740232,0.3174918256712525,0.16811623656968674,0.8713015114181625,0.059069542942612345,0.643547230065954,0.7822785506262134,0.10722747560301889,0.34496609033136066,0.4542111331348845,0.35361539720535584,0.8518443182925219,0.2853774392970428,0.7764760847863301,0.5506406889159252,0.4269256624301625,0.23171203645999516,0.6868931009232915,0.6972091807937715,0.6794673790011388,0.3433864833653623,0.20128579076712572,0.7815319130962222,0.49946191046448835,0.5557621242964985,0.856580603273172,0.8014352342880936,0.21750161048508868,0.36376531660103356,0.3576557169438017,0.290396319466681,0.10402216035673532,0.7947210110227537,0.8251123057213685,0.687260410444167,0.9199831586669327,0.5407677540331831,0.6569770151838906,0.8963312119005634,0.7686705198187084,0.45660770587699784,0.25653230978940444,0.7552012733370592,0.6596352658836688,0.7747502208372488,0.7794923609272911,0.3864541986713895,0.711229398191544,0.8124756553144218,0.6267236773867481,0.7754095692767289,0.4899208792669409,0.38082876827938394,0.4067343884704765,0.47966593788058604,0.3099150766016573,0.785956892055056,0.5231066709927308,0.8001075724206871,0.3673488520161172,0.7604452635416166,0.2281367282180633,0.3664953738758715,0.8077591838363138,0.5225759061387073,0.44601443712900724,0.30646928097390647,0.38751087893036645,0.5026499752946846,0.515717779795935,0.6485504315748102,0.7188269926643234,0.7101004137164355,0.6016519895239032
213800X3Q9LSAKRUWY91,0.5372208827929502,0.8086360001836118,0.8579327435073782,0.7607678220555781,0.9322027335034752,0.5691167184562549,1.0,0.9584449725458073,0.4576713537922771,0.923437183215908,0.5349744421849675,0.9709805520827921,0.6402633836408699,0.4102646769067512,0.5768523847258864,0.4780497178862734,0.4630933898304055,0.7206907172991935,0.6598811524367082,0.5859455178949787,0.8308216622715497,0.5651228293191098,0.7162665233123577,0.7141219842950413,0.6717051917581233,0.6098187738401165,0.6105714704862765,0.9381415791159465,0.8658505853396093,0.9416275232977813,0.9016492037758289,0.9603380752204018,0.9291256197609075,0.8744439452120328,0.8366054136187266,0.23081890676919511,0.6630190024352004,0.5573468125692549,0.7974068164603453,0.8242206158122102,0.2572546411798947,0.5243013928319603,0.9322074542739981,0.902768825755968,0.6655997093991978,0.8340971896948447,0.8923362084926004,0.9661593388444856,0.7794722181322631,0.7215088726434851,0.7880470543733369,0.8175740033248502,0.7681616006542399,0.508835868275334,0.7039890049201902,0.7648053011834334,0.9338843676351045,0.7705740045420008,0.8029852939435356,0.660965041318701,0.832162888609486,0.8806603246375214,0.8820373319783685,0.8750268456569279,0.5814939292272285,0.7768790810883349,0.6452287386193053,0.8571642292884042,0.7006074119440501,0.9659392764498018,0.9194832421134309,0.6558715394875443,0.7397101044070805,0.7326065241902764,0.6833299003464866,0.6394724188373019,0.6417526424919062,0.4602447735809407,0.4996921871591218,0.8620334822629199,0.8119015625074537,0.7779597685130314,0.9322691545815828,0.45997830755375857,0.9484568766508348,0.909573599634328,0.8255822080546564,0.9369688697726856,0.9003701957103974,0.6102395612357558,0.8917611893308932,0.608125432998429,0.80290150826248,0.789785948578382,0.8133450271686278,0.9017975881719507,0.527094043697226,0.920881567215401,0.893619817992394,0.8995984135579226,0.8322540826986554,0.9746226593051143,0.9393587517379496,0.9710380131321639,0.6158018655958608,0.5957219247023384,0.9640913345220002
222100K6QL2V4MLHWQ08,0.5240993903229345,0.839342056684161,0.8221071214457429,0.7948459635305068,0.9407739177968426,0.6511526502717371,0.9584449725458073,0.9999999999999999,0.47035467906069184,0.9215765907601623,0.5283735468355973,0.9464284618101758,0.6315216583600501,0.3658971686045892,0.5569829464836877,0.4702651873410045,0.4657498569259982,0.7051746431526092,0.66103051725522,0.5795955859972689,0.8328980224149044,0.5681490145864183,0.7750750836880645,0.708462510964307,0.5744456890598469,0.6073271511718955,0.6474434772883778,0.922815864899507,0.8711611368467135,0.9337912707528201,0.8994267343560419,0.9692636650792411,0.8873501369342326,0.868292217891531,0.7998064661198506,0.200381777389139,0.6761780376714801,0.592317449730906,0.7640520398807621,0.8053381557539908,0.24617447631302222,0.463034796639572,0.9061939520513725,0.8976519791076439,0.6707367968608571,0.7918555162433949,0.891263276295482,0.9578740016384483,0.7992341665285048,0.7220810733827238,0.7879338148331525,0.8249293523654628,0.8393260907970586,0.42821849870936635,0.6809341405238073,0.7428884624162289,0.9415571243690838,0.7420601933647153,0.7994716395241112,0.6592925769183706,0.8381683098924251,0.9123360163864714,0.880002266561242,0.8661072842120505,0.47500161555984644,0.7460648392376813,0.6373016591992187,0.8413437805386212,0.7267149281987272,0.9322076218572153,0.8612179765151536,0.6903419558375139,0.7361074012576097,0.6847189489019953,0.6434944930045201,0.6303197631844593,0.6015839797891144,0.4632016503889353,0.49454238664851274,0.8436536221322981,0.7857555229167469,0.7593125192564321,0.9026963166095067,0.46409984706717367,0.9594401000958962,0.9234007048183237,0.837125122485539,0.9466519491061729,0.8977957482585106,0.6072673939604074,0.9522315400937421,0.603476703426384,0.834773557499788,0.7833409987811402,0.8229822095406497,0.9199469893461335,0.5348456733764536,0.9550459826894019,0.8530042507601804,0.8953672667290791,0.8096940209970421,0.9560187122602517,0.9419213170392455,0.9771703320352496,0.5974749053100652,0.5732618837775691,0.9517553131348305
254900RNFMDM0P11YR84,0.9438391888289425,0.15548078842999474,0.679913951918927,0.2258362918656708,0.3249634177900429,0.7841096343292256,0.4576713537922771,0.47035467906069184,1.0,0.189367615550722,0.9869883324631151,0.42061091647570525,0.9696517204800185,0.02585152442232717,0.7542035467448464,0.9942436892960691,0.9973626340612906,0.90534043495117,0.9611839061285494,0.9828230505993115,0.840746622749984,0.9894012926936808,0.49349182615502235,0.9045210903881906,0.03567504780190365,0.9768576660439109,0.06887860294298798,0.27442978606834373,0.7802769253436509,0.2946748203633865,0.16179082664389008,0.4078448494052818,0.3943348926428338,0.2733107159942195,0.15591624979642654,0.1258494683960465,0.9436836237912452,0.02293785693838873,0.3881791244049474,0.741341719711804,0.1353449028524145,0.2270974858803574,0.43535845125947903,0.12323055673633865,0.9113936694078358,0.02508160914471446,0.757183744232865,0.4880513730707975,0.219942930504897,0.14170690173257902,0.6741574551476652,0.7828452923289437,0.49455698099101975,0.3260837326172958,0.15800685871878473,0.8925734310108372,0.33361645603868206,0.5960338668380855,0.8464634019000705,0.882207311245464,0.14495663812406148,0.21246316693605677,0.323509728436237,0.13752498605821425,0.01211035572228178,0.8554169411287533,0.9548499078621425,0.675812249659144,0.872312113436456,0.5037434132785197,0.4416166422522852,0.9408999789758464,0.91193339459399,0.42224108233159185,0.21201845177789294,0.9464677296957293,0.7844538474548699,0.9989262510656303,0.9827782191772859,0.3432113390006303,0.8245279648477993,0.8866842442146486,0.6379420110538465,0.9988616898937719,0.35486253434053217,0.24950944493012386,0.29759758121459673,0.31028130734617565,0.18200070987782085,0.9789168726544614,0.3171971195846316,0.9816051521716469,0.17359211586930898,0.8908715635350845,0.19028042869104805,0.22622531095449291,0.9957099729822128,0.3442776138336903,0.41618507859002607,0.21908289548453574,0.2852552454036844,0.42229230221912123,0.37099911294604543,0.5163162166736511,0.833656813087373,0.8758172170839235,0.43579882952356686
2W8N8UU78PMDQKZENC08,0.28826763289648505,0.8478532333996038,0.6896860779086361,0.8037411188724005,0.9540123399954095,0.3471499074560222,0.923437183215908,0.9215765907601623,0.189367615550722,0.9999999999999999,0.27128748074576425,0.932580981125827,0.3958799546951025,0.3837740954149414,0.35962614170551965,0.1961551582803256,0.19161406668243844,0.514693133054427,0.4237494231340463,0.3188898245490196,0.6622808927902479,0.3017634491926172,0.5924891605372513,0.4885539017239231,0.6630437146003004,0.35944833526717046,0.7512451539237951,0.9589415622750886,0.7184232622133887,0.9824363056684581,0.9701901875653366,0.9239130825391746,0.8843573746127578,0.834749487311516,0.8877144486885874,0.14453922275785616,0.4119150901693249,0.7356667661083136,0.6381716175308948,0.6483654732112833,0.222473349837371,0.4676866010538283,0.9261884751110689,0.9515830490301473,0.4125561836908642,0.8732132180497457,0.7311035663798429,0.9442407819866758,0.7640813209275573,0.784231732358971,0.6634743245946358,0.6566490438946472,0.6892951055583325,0.4187966609074547,0.7486276386791315,0.5531888679501468,0.9168823508169639,0.6181328781245903,0.6025653403727211,0.40982392323737565,0.9404419101265715,0.9701552065955334,0.9440170194552454,0.9102105835246276,0.5628431736060886,0.5266656675334803,0.3967900150310774,0.7326267204384045,0.4642385146200335,0.9208462955397845,0.7689665187855806,0.4141927441972657,0.5474516270146136,0.6012566935360356,0.6618904438671217,0.4178518814871538,0.46227334870849623,0.18781072619197334,0.23053529929250838,0.8743057024686284,0.6314939639453417,0.5421980671864529,0.8178145249646198,0.18880180351194736,0.9659747747621981,0.9679940522559322,0.839202774601064,0.9433744553353787,0.9758278471087912,0.3677105179420707,0.9220258826006503,0.35722990819069633,0.8501815911372286,0.6023919525550007,0.9337944017475728,0.9792564544717866,0.26058181493229843,0.9355088584671298,0.8428466738772492,0.9723828909119001,0.860735900713404,0.9529879029585133,0.9180017847766552,0.9031758355883893,0.40251302557205015,0.381434117780622,0.9176995482289853
